City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Cape Town,ZA,2021-03-24 22:08:20,-33.9258,18.4232,70.0,77,0,10.36
1,Jaguaruana,BR,2021-03-24 22:08:21,-4.8339,-37.7811,75.56,90,50,5.7
2,Taiyuan,CN,2021-03-24 22:08:21,37.8694,112.5603,37.4,56,0,2.24
3,Vaini,TO,2021-03-24 22:08:21,-21.2,-175.2,78.8,89,90,14.97
4,Hobart,AU,2021-03-24 22:08:01,-42.8794,147.3294,62.01,94,75,10.18
5,Mairwa,IN,2021-03-24 22:08:22,26.2333,84.15,74.05,19,14,8.37
6,Ushuaia,AR,2021-03-24 22:08:22,-54.8,-68.3,42.8,75,75,39.12
7,Rikitea,PF,2021-03-24 22:08:22,-23.1203,-134.9692,79.59,67,0,13.0
8,Meulaboh,ID,2021-03-24 22:08:23,4.1363,96.1285,74.75,87,100,3.18
9,Coquimbo,CL,2021-03-24 22:04:05,-29.9533,-71.3436,64.4,68,0,11.5
10,Amapa,BR,2021-03-24 22:08:23,1.0,-52.0,70.12,99,100,1.74
11,Khatanga,RU,2021-03-24 22:08:23,71.9667,102.5,-4.61,95,100,3.06
12,Fortuna,US,2021-03-24 22:08:24,40.5982,-124.1573,55.0,71,75,12.66
13,Sola,VU,2021-03-24 22:08:24,-13.8833,167.55,78.8,100,74,2.3
14,Beyneu,KZ,2021-03-24 22:08:24,45.3167,55.2,53.47,79,75,17.29
15,Lavrentiya,RU,2021-03-24 22:08:24,65.5833,-171.0,16.2,91,73,0.81
16,Hecun,CN,2021-03-24 22:08:25,36.5333,114.1111,51.53,40,85,1.88
17,Biak,ID,2021-03-24 22:08:25,-0.9131,122.8766,76.01,84,100,0.78
18,Oranjemund,NA,2021-03-24 22:08:25,-28.55,16.4333,63.91,86,0,0.16
19,Dikson,RU,2021-03-24 22:08:26,73.5069,80.5464,-8.18,99,85,4.63
20,Atuona,PF,2021-03-24 22:08:26,-9.8,-139.0333,80.65,74,100,18.68
21,Te Anau,NZ,2021-03-24 22:08:26,-45.4167,167.7167,56.08,78,63,0.34
22,Jamestown,US,2021-03-24 22:05:53,42.097,-79.2353,66.2,52,90,13.58
23,Bluff,NZ,2021-03-24 22:08:26,-46.6,168.3333,55.99,84,12,5.01
24,Kaitangata,NZ,2021-03-24 22:08:27,-46.2817,169.8464,62.01,93,53,11.99
25,Ponta Do Sol,PT,2021-03-24 22:08:27,32.6667,-17.1,59.0,81,100,5.01
26,Los Llanos De Aridane,ES,2021-03-24 22:08:27,28.6585,-17.9182,66.2,82,0,11.5
27,New Norfolk,AU,2021-03-24 22:08:28,-42.7826,147.0587,62.01,79,100,4.0
28,Carnarvon,AU,2021-03-24 22:08:28,-24.8667,113.6333,73.4,78,40,19.57
29,Saldanha,ZA,2021-03-24 22:08:28,-33.0117,17.9442,77.0,50,4,1.14
30,Puerto Ayora,EC,2021-03-24 22:08:28,-0.7393,-90.3518,82.4,78,40,10.36
31,Cayenne,GF,2021-03-24 22:08:29,4.9333,-52.3333,81.0,78,25,6.91
