City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Vaini,TO,-21.2,-175.2,77.0,73,20,17.27,['few clouds']
Albany,US,42.6001,-73.9662,63.0,40,99,3.0,['overcast clouds']
Cherskiy,RU,68.75,161.3,24.66,97,92,3.33,['overcast clouds']
Dikson,RU,73.5069,80.5464,15.84,97,61,11.32,['broken clouds']
Marang,MY,5.2056,103.2059,77.0,100,20,2.3,['few clouds']
Mareeba,AU,-17.0,145.4333,71.6,78,47,10.36,['scattered clouds']
Zvecka,RS,44.6389,20.1647,50.0,93,75,17.27,['moderate rain']
Rikitea,PF,-23.1203,-134.9692,78.44,79,69,13.22,['broken clouds']
Chuy,UY,-33.6971,-53.4616,53.17,72,6,6.11,['clear sky']
Asino,RU,56.9979,86.1452,41.7,68,13,7.61,['few clouds']
Moyale,KE,3.5167,39.0584,67.95,84,97,5.23,['light rain']
Calvinia,ZA,-31.4707,19.776,50.23,95,35,4.41,['scattered clouds']
Port Elizabeth,ZA,-33.918,25.5701,59.0,94,40,5.75,['light rain']
Sobolevo,RU,54.4299,31.8996,45.14,96,99,6.31,['overcast clouds']
Cuamba,MZ,-14.8031,36.5372,55.65,91,72,3.58,['broken clouds']
Broome,US,42.2506,-75.833,53.01,76,90,4.61,['overcast clouds']
Busselton,AU,-33.65,115.3333,52.0,99,96,2.55,['overcast clouds']
East London,ZA,-33.0153,27.9116,66.78,78,83,4.47,['broken clouds']
Ushuaia,AR,-54.8,-68.3,51.8,43,0,5.91,['clear sky']
Mahebourg,MU,-20.4081,57.7,73.4,83,40,5.75,['light rain']
Khatanga,RU,71.9667,102.5,31.69,99,100,6.49,['light snow']
Avarua,CK,-21.2078,-159.775,75.2,69,90,9.22,['overcast clouds']
Aleksandrov Gay,RU,50.147,48.5704,57.29,43,75,5.97,['broken clouds']
Punta Arenas,CL,-53.15,-70.9167,41.0,93,0,3.56,['clear sky']
Esperance,AU,-33.8667,121.9,53.6,100,40,6.91,['scattered clouds']
Cotonou,BJ,6.3654,2.4183,84.2,79,40,13.8,['scattered clouds']
Thompson,CA,55.7435,-97.8558,44.6,39,20,12.66,['few clouds']
Chodavaram,IN,17.8333,82.95,84.2,84,40,2.3,"['moderate rain', 'mist']"
Sioux Lookout,CA,50.1001,-91.917,50.0,40,75,9.22,['broken clouds']
Tuatapere,NZ,-46.1333,167.6833,46.0,98,100,1.99,['overcast clouds']
Mossendjo,CG,-2.9506,12.7261,69.49,98,100,2.37,['light rain']
San Cristobal,VE,7.7669,-72.225,80.6,69,40,8.05,['scattered clouds']
Tessalit,ML,20.1986,1.0114,92.89,15,23,12.28,['few clouds']
Mataura,NZ,-46.1927,168.8643,46.0,98,94,1.99,['overcast clouds']
Hithadhoo,MV,-0.6,73.0833,84.07,74,41,8.03,['scattered clouds']
Saint-Augustin,CA,51.226,-58.6502,40.82,82,100,17.85,['overcast clouds']
Butaritari,KI,3.0707,172.7902,82.96,76,54,12.3,['light rain']
Harper,LR,4.375,-7.7169,80.04,80,99,5.75,['overcast clouds']
Faanui,PF,-16.4833,-151.75,83.39,62,25,9.75,['scattered clouds']
Bluff,NZ,-46.6,168.3333,46.0,98,94,1.99,['overcast clouds']
Atuona,PF,-9.8,-139.0333,80.56,76,3,17.98,['clear sky']
Gallup,US,35.5281,-108.7426,82.4,6,1,26.46,['clear sky']
Shache,CN,38.4167,77.2406,66.56,17,100,2.17,['overcast clouds']
Ambon,ID,-3.6954,128.1814,75.2,94,40,3.44,['scattered clouds']
Dunedin,NZ,-45.8742,170.5036,53.01,90,100,8.99,['overcast clouds']
Carnarvon,AU,-24.8667,113.6333,60.8,88,0,11.5,['clear sky']
Husavik,IS,66.0449,-17.3389,32.0,64,75,9.22,['broken clouds']
Talnakh,RU,69.4865,88.3972,34.0,99,100,3.24,['overcast clouds']
Tasiilaq,GL,65.6145,-37.6368,30.2,80,90,8.05,['overcast clouds']
Toora-Khem,RU,52.4675,96.11,47.25,86,100,8.81,['overcast clouds']
Shakiso,ET,5.75,38.9167,59.68,98,100,3.36,['light rain']
Pemangkat,ID,1.1667,108.9667,75.87,87,90,3.44,['overcast clouds']
Dingle,PH,10.9995,122.6711,77.36,89,100,6.26,['light rain']
Andra,RU,62.5147,65.8878,34.16,68,7,3.8,['clear sky']
Itaituba,BR,-4.2761,-55.9836,84.2,79,40,3.44,['scattered clouds']
Korla,CN,41.7597,86.1469,69.69,13,100,2.86,['overcast clouds']
Lompoc,US,34.6391,-120.4579,62.6,55,0,17.27,['clear sky']
Castro,BR,-24.7911,-50.0119,54.37,91,95,6.96,['overcast clouds']
Bambous Virieux,MU,-20.3428,57.7575,73.4,83,40,5.75,['light rain']
Richards Bay,ZA,-28.783,32.0377,66.87,88,99,8.57,['light rain']
Pevek,RU,69.7008,170.3133,17.22,94,100,6.69,['overcast clouds']
Tiksi,RU,71.6872,128.8694,23.83,95,100,3.76,['overcast clouds']
Samana,DO,19.2056,-69.3369,84.2,70,40,11.5,['scattered clouds']
