City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Rikitea,PF,2021-03-24 20:27:09,-23.1203,-134.9692,79.59,66,0,12.48
1,Kibala,TD,2021-03-24 20:30:48,9.1104,18.3463,91.4,35,0,4.61
2,Hobart,AU,2021-03-24 20:26:58,-42.8794,147.3294,61.0,100,75,8.05
3,Tuktoyaktuk,CA,2021-03-24 20:30:48,69.4541,-133.0374,-2.2,78,40,8.05
4,Bluff,NZ,2021-03-24 20:30:49,-46.6,168.3333,50.0,96,13,1.99
5,Tupik,RU,2021-03-24 20:30:49,54.4253,119.9327,2.23,97,31,1.79
6,Mitsamiouli,KM,2021-03-24 20:30:49,-11.3847,43.2844,82.76,70,42,1.23
7,Winnemucca,US,2021-03-24 20:30:50,40.973,-117.7357,48.2,23,1,10.36
8,Jamestown,US,2021-03-24 20:30:07,42.097,-79.2353,66.2,55,40,12.41
9,Tuy Hoa,VN,2021-03-24 20:30:50,13.0833,109.3,73.56,92,100,3.74
10,Okhotsk,RU,2021-03-24 20:30:50,59.3833,143.3,-5.64,98,68,0.51
11,Katsuura,JP,2021-03-24 20:30:50,35.1333,140.3,57.2,67,75,11.5
12,Alice Springs,AU,2021-03-24 20:30:51,-23.7,133.8833,62.6,94,4,3.44
13,Vaini,TO,2021-03-24 20:30:51,-21.2,-175.2,77.0,94,75,11.5
14,Barrow,US,2021-03-24 20:30:51,71.2906,-156.7887,-9.4,70,1,8.05
15,Ongandjera,NA,2021-03-24 20:30:52,-17.8833,15.0667,79.92,50,76,5.19
16,Punta Arenas,CL,2021-03-24 20:26:36,-53.15,-70.9167,50.0,62,40,23.02
17,Dunedin,NZ,2021-03-24 20:26:36,-45.8742,170.5036,54.0,93,100,8.19
18,Norman Wells,CA,2021-03-24 20:30:52,65.282,-126.8329,6.8,56,75,6.91
19,Kannur,IN,2021-03-24 20:30:52,11.8675,75.3576,79.11,85,10,4.12
20,Cherskiy,RU,2021-03-24 20:30:53,68.75,161.3,-1.95,97,100,2.95
21,Thompson,CA,2021-03-24 20:30:53,55.7435,-97.8558,12.2,48,20,10.36
22,Flinders,AU,2021-03-24 20:30:53,-34.5833,150.8552,69.01,72,56,1.99
23,Itarema,BR,2021-03-24 20:30:54,-2.9248,-39.9167,78.71,80,90,9.48
24,Lavrentiya,RU,2021-03-24 20:30:54,65.5833,-171.0,14.63,93,73,1.1
